headline,content,response,star
A must do in Key West,"You have to stop in at this iconic stop, have a blended drink and listen to the music! Every trip to Key West requires a stop at the bar at the end of the world!",NA,4.5
"gritty bar, but fun atmosphere","I went with a group for drinks.  It's a fun, gritty, loud bar that seemingly everyone goes to.  Worth going for a drink or two.",NA,4
Nice Crowd!,There's always a lively crowd there and live music. Noisy and busy but ok. Mozzarella sticks were good. I'm not a drinker...just wanted to check it out.,NA,4.5
Fun !,"Supposedly where Papa Hemingway hung out when he was in Key West, it’s now a major tourist attraction, although in a slightly different location than when Hemingway visited.  Fun nevertheless, just to get a Mojito and watch the parade outside on the street.",NA,3
A must do on Duval Street,"Iconic bar in Key West. Busy, noisy, great music, crowded, good service. Just stop in and find a place to sit down. Had the nachos for a late lunch which were good.",NA,5
This place gets poppin,"This place gets poppin when cruise ships come in. Food was average, drinks were good. I particularly liked the key lime drink.",NA,4.5
High Energy Bar,"Sloppy Joe's has live music every day (often a band rather than solo musician), decent menu, good service.",NA,4
Fair prices good bands,Bud lights were $5.50 a bottle and we had the hot roast beef sandwiches. These were like French dips and the roast beef was very tender.  Service is a little slow because they are always so busy but not bad.  We went here at least...More,NA,4.5
"Booze, food and atmosphere",Apparently this is where Hemingway hung out.  Probably for the alcohol and conch fritters.  Loud and lively place.,NA,4.5
cheep lunch,Guitar with lunch. A standared bar menu food ok but not fine dining. Noisy but a fun place for lunch and an iconic stop when in Key West.,NA,4.5
Fun place ,My husband and I popped in here because it is a must do on Duval Street. The live music and atmosphere was fun and funky. We ordered the sloppy Joe nachos and they were very good. Just perfect for a late lunch.,NA,4.5
Fun place!,We stopped in Sloppy Joe's for drinks while on a cruise.  The atmosphere is very fun and the staff was great.  We would have stayed longer if we had more time.,NA,4.5
A Must Do in Key West,"A large bar with live music. Many tables that are all full. Loud party atmosphere. Good service, we never waited long for a drink. Part of Key West history.",NA,4
It's a Bar!,"First stop on our Key West trip.  The house ale was good.  My wife and I had the Original Sloppy Joes...side of fries separate.  The Sloppy Joe was okay, hard to handle and eat.  It's pretty large but not any better than the homemade sloppy...More",NA,4.5
Unfriendly and pushy to pay bar tab,We visited Sloppy Joes in 2013 and we’re excited to return. Disappointed with unfriendly older female bartender who was paranoid because someone recently left without paying their tab that everyone was treated with a pay your tab now and even talked about us with a...More,NA,3
Landmark establishment.,"What can anyone say about Sloppy Joe's Bar? Been around since December 5th, 1933! May 5, 1937, is when they moved to their current location. No more words needed. Excellent property, location, offerings. Professional, service oriented, personable staff is just the beginning.",NA,5
A good time for lunch!,"Had lunch here with my sister. We shared a Sloppy Joe, and it was very tasty! Fries were crisp and hot. The server was friendly and attentive. Drinks were reasonable and good. The memorabilia of Hemingway on the walls was interesting to read. There was...More",NA,4.5
Roudy bar with average food,"Nothing special here other than some unknown historical significance. Had seafood pizza and fish tacos. Fish tacos were some of the worst I have had. Flavor profile was more like a beef taco, fish tasted like the frozen fish sticks from the grocery store.",NA,4
Just Ok,"My fiance and I went here in January. The front half was too crowded, we couldn't get to the bar because a live band was playing, so we walked around the corner and we realized there was a back end so we went there. We...More",NA,4.5
So Fun!,"Great music, nice bartenders and good drinks.  What more could you want.  It's a real gem in Key WestA",NA,4.5
Sloppy Joes,"Sloppy Joe's is always fun and the food, drinks, entertainment and service are top notch! It fills up when the music starts so get your table early and stay a while,  or just stand on the sidewalk and enjoy through the big open windows!",NA,4.5
Sloppy Joe's the place,"This is another spot that we frequent on our annual visit. We go and enjoy the bands, the food and especially the drinks after leaving Fat Tuesday.  The waitresses were awesome as usual and the environment, 1st class.  You have to go, never been a...More",NA,4.5
Come here for the music and he people watching,"There are a few places in KW that are an absolute MUST.  Sloppy Joe's is one of them.  A lot of character and mystique (read legend).  Super drinks, reasonable food, plenty of things to buy in the shop and everyone is nice.",NA,4.5
The best bar in Key West,"If you go to Key West you have to go to Sloppy Joe's it is iconic! It is a true keys bar busy, loud, and fun. They have the best live music around. You will need to just stand, dance, and enjoy yourself...this is not...More",NA,4
Fun bar and good music,"Definitely a fun bar with live music. Great place to let loose and just hang out with friends. Lots to choose from drink wise. Didn’t order much in the way of food, but did try the conch fritters and they definitely weren’t nearly as good...More",NA,4.5
Great place for lunch.,Signature sandwich -sloppy joe is excellent. Our waitress was great. Also had a terrific singer. Moderately priced.,NA,3
Suds and grub.,"Ice cold beer, music to your ears, and a sloppy joe.  That's why we go!  Can't miss this place, it's right up to pace, with lots of fun . . . No time to run!  Sit back a spell, hoot, holler and yell.  No body...More",NA,5
Evening Visit,Stopped in for a drink and stayed a few hours! Awesome place and enjoyed the music and it wasn’t blaring at you.,NA,4.5
Fun atmosphere ,We came here for lunch and they had live music. We had the pork tacos and the sloppy joe sandwich. Both were really good and our server was great. I would definitely come back. Great live music too,NA,4
Awesome Bar with great entertainment and bar food,"All of the people who work there were fun to be around.  You go there for the drinks and the entertainment, and if you like bar food, their food is just as good as anyone other place that serves bar food.  The had good draft...More",NA,4.5
Great hangout,Spent one afternoon at the bar here. Great scene for people watching.  Had the best Mahi Mahi fish tacos ever!  Big tourist attraction but still fun,NA,4.5
Pretty Good ,We decided to go mainly to have a drink where Hemingway drank. Although he didn't in this location. We stayed fot lunch and it was surprisingly good. Shrimp Po Boy was very good. Prices are on the high side since sides don't come with sandwiches.,NA,4.5
Fun,"Entertainment was great, Sloppy Margarita was the best ever. I highly recommend the nachos. The sauce they have has a sweet and spicy taste. So good. Friendly servers, the nachos were enough for 3 of us.",NA,4.5
Fabulous,Great atmosphere with live music and drinks. Only had nachos at the  bar so difficult to comment on food. Service was good.  Went back a couple of times and always had a good time,NA,4.5
Always The Same - Great,"Sitting at the bar, same barmaids from a few years ago,fine informal entertainment, and friendly patrons, who would ask for anything better. Also watching the barmaids handle the extremely busy serving requests was a show in itself. All customers were  treated as ""regulars""! A couple...More",NA,4
Worth a visit!,"Visited here at lunch time during our trip. It was extremely busy and we were about to move on as we couldn’t find a place to sit - luckily we managed to find somewhere right at the back.

The atmosphere is really good, the service...More",NA,4.5
Nothing special,"Had to do the tourist thing while in key West. Of course that included this place. Food was ok, nothing special. Service was decent even though it was pretty busy. Prices were typical tourist-trap range. T-shirts are crap, barely held up after one washing, so...More",NA,3
Can't go wrong visiting,"Although this is where the tourists go, you can still get a good drink while listening to free live music in a lively atmosphere.  The Sloppy Joe sandwich is also very tasty.  Lots of stuff to look at, some Ernest Hemingway, hanging from the walls...More",NA,5
Always have to stop here when in the Keys,"The food is the usual pub fare. It is decent. The place is always busy, and usually live music. Iconic stop when you are in the Keys, priced accordingly. Music was good, beer was cold.",NA,4.5
Great Live Music-Good Time,"There was a great band playing when we visited. Drinks were flowing and good times were had by all. Drinks/beers are a little pricey.
Hemingway’s hang out!",NA,4
Great food and atmosphere,"We had to stop here to see what all the fuss was about. Not only did our party of 8 enjoy the food, but also liked listening to the bands and soaking in the fun.",NA,4.5
AWESOME!!,Band was amazing!  Staff friendly and very helpful and knowledgeable about the island.  Had an amazing awesome great time!  Prices reasonable.,NA,4.5
AMAZING!!,"We dropped into Sloppy Joe's for a few drinks and the entertainment! A great band, too!  This place lives up to its sterling reputation as a great place to hang. The chicken wing sampler is to die for!!  A three-level platter holds six wings on...More",NA,4.5
Hemingway’s Favorite ,"Sloppy Joe’s bar is Hemingway’s favorite bar in Key West. Live music, bar, great atmosphere. Local beer tastes good!",NA,4.5
The original sloppy Joe’s,The original sloppy Joe’s (even though there’s another bar a few meters away claiming to be the one). We had to classic sandwiches with a great ground meat+souce. Basic but good. Also prices lower than expected,NA,4.5
Always fun,Good music and fun.  Great bartenders and we had an awesome waitress. A must do for tourist. Can get crowded but in a positive fun way.,NA,4
Bar Visit,Fun bar Tory bartender way too intense not welcoming. Had a fun jam session earlier in week great waiter Will !,NA,4.5
Good food and drinks,"Historic bar with good food, drinks, and entertainment. Went in for lunch and was presently surprised by the quality of the food. Very good service and the drink were fine. So it is not just for entertainment at night. Had live music even at lunch...More",NA,3
Fun night,My husband and I had a great night here at Sloppy Joes. Live Entertainment was amazing and waitress was on the ball. Couldn’t ask for more. Thanks for a great night,NA,5
Good drinks and music.,"We stopped in for drinks, music, and key lime pie.
All 3 were good.
The guy playing had a good voice and played the guitar well.
Service was good, it was very busy and crowded when we went.",NA,4.5
Fun! ,"Popped in for a beverage and heard some
Good music. Open area to see all the by-passers. Bartender was great and definitely recommend getting a souvenir t-shirt!",NA,4
Original Keys,Got to go to the Original brewery. Beer is good and food is good enough to go and take in the history of this tavern. Decor is fun and usually have some mediocre live music during peak hours. Great place to buy a t shirt...More,NA,4.5
Had to go in with the band playing,"The band drew us into this place.  It was more at the end of an afternoon and could not believe how busy it was,...everyone and their kids!  Maybe a cruise ship stop? Good drinks on special .  We also had a couple appies that were...More",NA,4.5
OK,"You expect everything to be touristy in Key West but this bar is tops on that list. It only plays off its name. It is always crowded and the service is always ""Keys"" style, slow. The only think it has going is there is almost...More",NA,4.5
Classic dive bar feel. Get the souvenir bottle.,It has history and is a good place to get a drink. I'd suggest the frozen drinks that come in a souvenir water bottle. Yum and easy to walk around with.,NA,4.5
Great Drinks!,"We visited Sloppy Joe's bar while on a cruise with a port of call in Key West. We really enjoyed the decor, drinks were reasonably priced, and the guy singing while we were there was good. Our waitress was very friendly and attentive. We didn't...More",NA,4.5
Had to come check it out.,"Had to come check it out. We took the last seats in the corner near the stage. Live music. 
We ordered a sloppy margarita (good), sloppy joe (meh, I’d skip it), (conch fritters- really good). Service was good considering how packed it was. We enjoyed...More",NA,4
Great classic dive bar with,"Great classic dive bar with live music, like many other KW bars. Center of town.  Food moderately priced, drinks on high side. $5.50 miller lite, mojito $10 . Fast service considering it was packed",NA,4.5
Traditional and Historical place to be,Visited inJanuary with friends.  Did not eat there this trip.  Many tourists flood this bar to say they drank where Hemingway drank.  Cruise ship season has thousands of guests flocking the streets and having at least one drink.  Service is friendly and professional even throughout...More,NA,3
Nice decor,Had a quick lunch in a historic place. Conch fritters were really good and sloppy joe sandwich was not bad. Pretty busy but tables were available.,NA,5
Great venue for live music and fun...so so drinks,We come to Key West yearly and also stop in to Sloppy Joe’s for live music and fun. We finally feel relaxed and on vacation after a trip here. We’ve never had the food but it seems like standard bar snacks. Drinks are ok...fine if...More,NA,4.5
Great fun bar,"Fabulous fun bar, good food with great service.  A must to experience.  Music was fun, people ready to party and the staff was right there when needed.  Loved it all.",NA,4
I love this place!,"Visited here on Black Friday for lunch. First place we went to when we arrived to town after dropping off luggage. The place was packed. It is a seat yourself kind of place. Live entertainment on stage, which was very good. Had the sloppy joe...More",NA,4.5
Always Packed.,The bar seems to be the place everyone in Key West goes to. Drinks prices are fair and the food is pretty good. It is loud and crowed at night and there is always some sort of live entertainment. We like to stand out side...More,NA,4.5
"Go for the atmosphere, not really the food",The food was okay but nothing to write home about. Great atmosphere though. Since we have two small kids we visited in mid afternoon. Still live music going on and we had a great time but the food is just okay.  Have a drink at...More,NA,4.5
Fun Atmosphere,"The atmosphere is good, but tables are crowded together.  We had an extremely friendly waiter, he was very responsive to our requests.  The food was tasty- even tried the original Sloppy Joe.  Worth visiting, to say that you did.  There was live music which was...More",NA,4.5
Ok. Nothing too special.,"Stopped in for a drink. The drinks were good. Ok band playing, bartenders were good. Nothing special. 
Don’t look up in the ceiling if you can’t handle lots of dust and old grime in a bar!",NA,4.5
A Classic Tourist Destination,"Another one of those institutions you have to experience if you make it to Key West. A classic dive bar with tons of atmosphere. The staff is great,the music is always god and the crowd has lots of fun. Drink prices are reasonable.",NA,4
What a great time!,"Wanted to go here, have drinks and listen to some live music.  The music was great and the drinks even better!  I suggest you try their rum runner!  So good!  Great place to unwind from shopping/beaching all day!",NA,4.5
Fun Place,Super fun place with great service.  When  we went there was a good band and the bartender Torrie made us a fantastic Key West lemonade drink.  Great time and fantastic people.,NA,3
New Year's Eve Bash,What a wonderful place to ring in 2020 with our friends. The atmosphere was vibrant and truly memorable!!!,NA,5
Great for New Year!,"What a fabulous place to come for New Year’s Eve, not only are the keys beautifully decorated for Christmas but on New Year’s Eve you can have a drink at Sloppy Joe’s and then wait outside to watch the conch shell drop. There were thousands...More",NA,4.5
Good Sloppy Joes,A fun bar usually has music. The sloppy joes are great. I had the sloppy joe meat added to my taco salad which really made it tasty. Always a good time. Close to the oceanfront and a lot of other places to visit.,NA,4
New Years!,New years Eve...this is the place to be.  I stopped in before everything started to pick up and had some beer and a Sloppy Joes sandwich.  It was VERY good I will have to say. They plan a great event each year at New Years...More,NA,4.5
Awesome for a tourist hotspot,"I didn’t think this would be great because it’s such a tourist hotspot. But our server was excellent, prices for our lunch reasonable and it’s just a super fun spot with live music. The service and attentiveness to our needs were superior to a $300...More",NA,4.5
Another Return Visit,"Over a long weekend in Key West, we made yet another visit to Sloppy Joe's and will definitely be back!  We always opt for the traditional sloppy joe sandwich and really enjoyed the live music as well.  Best to wait until the cruise ships leave...More",NA,4.5
Fun spot for live music and dancing,"Enjoyed the band while walking on Duval St. Good drinks, fun times. Definitely part of the Key West experience.",NA,4.5
Fun atmosphere - Great for family (with teens) lunch,"Sloppy Joe's is such an icon it's almost a cliche in Key West, but still always good fun.  We stopped in for lunch while wandering around escaping our cruise ship (two families - four adults and four teens) and had a good time - not...More",NA,4.5
Very fun Christmas Eve sing-a-long!,Brought the whole family! Aged from 4 years old to 57 years old.... good ole fun.... not a lot of tattooed drunks. Good singer too.,NA,4
Must see at Key West,"Must see at Key West. There’s really not much I could add to such a place, except that it’s as awesome as you imagine.",NA,4.5
Return visit,Just a fun place to sit and eat along with entertainment. Good conch fritters and sandwiches. Need to try the Sloppy Joe sandwich the next time we visit.,NA,3
Saturday night out!,"Drinks and sloppy joe dinner was good and food is provided in record time! The band was great. Service, two thumbs up. The ambiance is fun.",NA,5
Dance! Dance! Dance!,Great SUPERfun bar! Let your hair down & have a blast! Friendly people! Go and have a great time! Definitely plan on dancing with strangers who will quickly become friends!,NA,4.5
So fun--a must-do!,"We weren't sure we would go to Sloppy Joe's since we are not big bar-goers anymore.  But as we were walking by, the music drew us in and and we were so happy we went.  We  only stayed for a couple drinks and did not...More",NA,4
Must Go,"Amazing atmosphere - any time, any day. Live music makes this bar a must-see in Key West. The drinks are good and the people inside make it even better. Come at night and there's dancing near the stage in the back.",NA,4.5
Stop and enjoy the music,Love to stop at Sloppy Joes for a drink and good music. Great atmosphere. Never disappointed. Always feel like I'm walking into a party. Snacks are great too.,NA,4.5
Must Go When in KW,"Fun crowd. Pretty decent live bands and acoustics, good staff who work hard.  The Sloppy Joe sandwich was good, and the fish taco sandwich was very good going down, but the fish was deep fried so it might sit in your stomach all night.",NA,4.5
Good food,Nice place to stop and get a cool drink. Lots of seating. Food came out really fast. Live bands which is also nice.,NA,4.5
Famous stop so visit first trip to KW,"This place is iconic so if it is your first Key West trip you must visit. Otherwise, food is average and both food and drinks are overpriced. Hop in if you hear good music.",NA,4.5
Its a place for fun,"We were there in the evening and just for drinks which were very good and the service was terrific.  We were also treated to a local band, Tipsy and the donuts, and they are absolutely terrific.  Just some guitars and bongos, they will try to...More",NA,4
Historic and a little loud,"So, if you want to soak up a little of Key West Hemingway history then find a seat. Seats turn over frequently,  people are friendly, beer on tap and in bottles. Beer was good, our chicken nachos just so, so. I would never return to...More",NA,4.5
Lunch,"Nice variety of menu options. Probs were good sized and didn't leave anyone hungry. Very attentive servers. Really enjoyed the live music, talented musician!",NA,3
Don’t bother,"This is a cavernous, frequently VERY loud place living off its tenuous connection to Hemingway and the fact that many tourists like it because of its aura of a good-time joint. If Hemingway were alive, he wouldn’t go near it.",NA,5
"Touristy and packed, but it's a must go while in KW","The local beers are good, the staff seems a little fatigued eith tourists but with the sheet volume of what they are dealing with, I can understand.

The cashier at the gift shop gave me great advice and recommended going to the Tap Room at...More",NA,4.5
Must stop for every visitor,"It’s for tourists. Embrace that fact and have fun with it. Join in with the throngs of visitors dancing to live music, drinking the prerequisite rum cocktails. It’s a fun stop on Duval.",NA,4
