headline,content,response,star
Two is a charm with Mussel & Burger Bar Downtown,"At our recent trip to Louisville with friends, we ate at Mussel & Burger Bar and loved the food so much we went two days in a row!.  The first time we had lunch with one set of friends and we bragged on it so...More",Hello! Thanks for the love! We truly appreciate your feedback and are so glad to hear that you had a stellar experience and MBB! We can't wait for you to dine with us again to explore more of our menu!,5
Small Mussels and Long Wait,Our two couples were looking forward to our dinner. Had drinks at the bar on a Wednesday night and waited over 30 minutes for a table. No problem. My manhattan was good yet a tad short. Three of us ordered mussels and were surprised they...More,NA,4.5
"Great Bar, Burgers and Mussels","The name says it part-way--but moreso, the mussels were fresh and burgers, mussels and oysters all delicious. Great place to hang with my grown sons.",Hello! Thanks for the love! We hope you and your sons will be back to dine with us again soon:),4.5
Awesome Burger!,Please come to Indy!  Best burger I have had in a long time. I had the Argentinian and my partner had the CEO with Foie Gras; we loved both.,Hello! We are so glad to hear that you are a fan of our Burgers! We hope that you will dine with us again soon:),4.5
Interesting and worth the price of admission,"Not a name that resonates with my interests necessarily, although I like them both.  But together as a brand notion? Well slap me up side of my head.... what a great place.  My burger was over the top.  Perfectly prepared and the fries to die...More",NA,5
My Goto Restaurant in Louisville,"If possible, sit outside in their red brick and ivy courtyard and sip on a mint julep!  The appetizers are a wonderful meal in themselves.  Everything I've had there so far has been excellent over multiple visits.  Go with what sounds good to you, you...More",NA,4.5
Amazing truffle fries and short-rib nachos!,"This place totally lived up to our expectations...and then some.  In town for the Urban Bourbon Half Marathon, we discovered this place online.  Menu sounded very good and it didn’t disappoint.  The truffle fries were the best fries I’ve ever eaten.  Lots of flavorful oil,...More",Hello! Thank you for taking the time to write us such a fantastic review. The Curry Cream mussels are my personal favorite and I'm so glad to hear that you enjoyed them along with your other dishes. We truly appreciate your feedback and hope that...More,3.5
Great food great service. ,The burger was excellent. The server was good and the hostess was awesome. She remembered my name and would use it to ask how things were.,"Hello, Thanks for the love, we can't wait for you to dine with us again!",4.5
"Great food, expect a wait",We ate dinner here with our kids after coming into town for the night- we were staying across the street at 21c so my husband put our name in and we hung out in the hotel until the table was ready as there is nowhere...More,Hello! We are so glad that you and your children decided to dine at Mussel & Burger Bar. We appreciate you taking the time to leave us a review and hope that you will dine with us again soon.,4
Family Birthday Celebrations,"We received two separate recommendations for Mussel & Burger and we were not disappointed.
The atmosphere was energized. Fun, friendly, inviting.
Food was amazing. I had mussels and they were fresh and delicious. My family had burgers, including the seafood burger. We were so full....More","Hello! We are so glad that you chose to dine with us at Mussel & Burger Bar. We appreciate your kind words and are so glad to hear that you are a fan of our food, atmosphere, and service! We look forward to you dining...More",4
Never disappointed!,"You know when you think of a meal months or years after you've enjoyed it that the restaurant is a winner! Casual, friendly, reasonable prices and AMAZING food! We never kiss an opportunity to fine here if headed to Louisville!More",Hello! Thank you so much for taking the time to leave us a review and for choosing to dine with us at Mussel & Burger Bar:) We are so glad to hear that you are a fan of our food and we look forward to...More,5
Job Well Done,"After several years I finally made it to the restuarant.  I have been missing out as service, wait times, courtesy of staff & food quality were much better than average.  Will be back many times in the future.  All the way a Job Well Done!","Hello! Thank you so much for choosing to dine with us, we are so glad that you were able to make it in:) Don't miss out on our Oct. gift card giveaway!! check out our Instagram for details on how to enter!",4.5
Great Atmosphere,"We ate on the back patio which was a pretty cool environment. All of the beer is single serve, no draft. The food was amazing. The inside definitely had a reclaimed classy feel.  I had a burger, I did not have the muscles but they...More",Thank you for choosing to dine with us at Mussel & Burger Bar! We truly appreciate the love and hope that you will dine with us again soon:),4.5
Hello Yum!,"We were nervous coming here as they’re a top place for eats. The very nice hostess informed us that there’s be a 30 minute wait (for lunch!). But we decided to belly up to the bar because we’re impatient lol! So glad we did!

Met...More",Hi Andrea! We are so glad that you chose to dine with us at Mussel & Burger Bar:) We love hearing when our food hits the mark and we are so glad to hear that was the case during your visit. Can't wait for you...More,4.5
Do not miss this while in Louisville!,We had dinner here and are absolutely thrilled we didn't skip this spot. Everything was delicious and entirely worth every dollar! My husband had a drink which he enjoyed and we started with the mac and cheese appetizer which has fried cheese curds on top!...More,"Hello! WOW, Thank you so much for taking the time to leave us a review! We are certainly feeling the love and please know that we truly appreciate your feedback and can't wait for you to dine with us again soon!",5
A MUST STOP in Downtown Louisville!,"Amazing Food, Amazing Drinks, & Amazing Atmosphere/Staff! This was our favorite place while we were in Downtown Louisville! The B.B.B (Bacon Breakfast Burger) is absolutely delicious!",Hello! Thank you so much for choosing to dine with us! We are SO glad to hear that you consider Mussel & Burger Bar a Louisville must!! We appreciate your feedback and look forward to you dining with us again soon:),4.5
Great Burger,"For deluxe burgers of all kinds of taste, this is the place. We also enjoyed the loads of sweet potato fries. Great location to all the fun places downtown.","Hello! Thanks for taking the time to share your experience with us! We are glad to hear that you are a fan of our food, and we look forward to you dining with us again!:)",3.5
Birthday celebration,"Stopped in late to finish a day of celebrating. The bar is amazing, and the craft cocktails from the knowledgeable staff were great. Food was outstanding. Don’t miss the fries.",Hello! We are SO glad that you chose to celebrate your birthday with us at Mussel & Burger Bar! We truly appreciate your kind words and hope that you will join us again soon!,4.5
Old Fashioned Heaven!,I'm not an old-fashioned drinker but when in Rome! I have to tell you that this old-fashioned was amazing!!! The drink has layers of depth to it which are complex and delicious!! I had the mussels w/ Blue Cheese and Pancetta. The bread and sauce...More,"Hello! Awesome, so glad that you gave our old fashioned a shot and loved it!  We appreciate your feedback and hope that you will choose to dine with us again very soon!:)",4
Rehearsal Dinner,"We held the rehearsal dinner for our son’s wedding at Mussel & Burger Bar.  It was fantastic!  The food was awesome, the service was great and the private room was wonderful.   We all had a great time. Couldn’t have been better.",Hello! We are so happy you've chosen Mussel & Burger Bar to celebrate such a wonderful event! We truly appreciate you taking the time to share your review with us and hope that you will dine with us again soon!:),4
Phenomenal,"One of the best burgers I’ve had in a long time! If you know the difference between rare, medium rare, and medium (and you care about how your burger is cooked), this is the place to eat. Had the CEO burger with roasted tomatoes and...More","Hi Todd! Thank you so much for your feedback! We are so excited to hear that you've given us a ""Perfect 10!"" We pride ourselves on providing a unique and consistent dining experience! We hope that you will dine with us again very soon, be...More",5
"Mussel & Burger Bar Downtown, Louisville, KY","The burgers are great , big and juicy, the service was great. get there early or make a reservation, fills up fast. or set at the bar.",Hello! Thanks for the love Stephen! We truly appreiaceh your feedback and can't wait for you to dine with us again soon:),4.5
Great burger but...,"This restaurant was highly recommended to me by Hilton hotel.
While the burger was very good , the service was terrible. 
I asked to be moved before my food was served  because it was freezing cold sitting at the bar. The hostess did change my...More","Hello, Thank you for taking the time to share you experience with us. We sincerely apologize as that is certainly not the level of service that we typically provide. Your review will be shared with management to ensure that the issues is addressed and will...More",4.5
Dinner with my family,"The food are good , the ambiance is ok but the noise are so loud due to so crowded with drinking people and the open concept makes is harderto hear. It's not an intimate seat down grub. It's pricey but expected, overall it's ok.More","Hello! Thank you so much for choosing to dine with us at Mussel & Burger Bar. I will be sure to share your review with management, thought with an influx of people does come noise. I would like to suggest checking out our Patio downtown,...More",4.5
Amazing,"The food was divine and wonderful atmosphere. Fun atmosphere, close to the water front, lots of local shops to browse.",Thank you for taking time to leave us a review! We cannot wait to see you again!,5
Largest steak fries ever,"We had a 30 minute wait , but the food is worth it. I had a pleasant surprise on the beer menu finding 2 brews from Upland Brewing in Bloomington, IN. Our server strongly recommended getting one of the burgers since that's their specialty.
The...More",Thank you so much for taking a moment to leave us a comment We pride ourselves in bringing in the best quality product to give our guests a wonderful experience! We look forward to seeing you again!,4.5
Tourist Magnet,"Don't bother if you have any tastebuds left. 
You are in a foodie city with an exemplary array of local restaurants... ALL worth finding!

I had a great experience at Mussels Burger Bar. Yep, they have a vast menu of BOTH!
113 S 7th St,...More",Thank you so much for taking a moment to leave us a comment. We pride ourselves in bringing in the best quality product to give our guests a wonderful experience! We look forward to seeing you again!,3.5
Best Burger!,"It’s definitely a must if you are in pursuit of the best burger ever!

We happened upon this place and glad we decided to give it a try.  

The burger was cooked perfectly and served hot!

The fries are handcrafted and served hot and were...More",NA,4.5
Good cocktails and burgers!,Beet burger was yummy and we loved the sweet potato fries!  The cocktails were delicious and offered fun options!,"Thank you for your kind words, and for taking a moment to leave us a comment. We cannot wait to see you again!",4
Good burgers & dessert,"Burgers a little pricey, but big, cooked to order and good. I shared mine with my adult daughter. Fries came with it. They were good and plentiful. We were content with the amount of food we had. My husband had two sliders and was happy...More",NA,4
Great food!,We had the Mediterranean burger and the Chorizo burger - two of the best burgers we’ve ever had! The sweet potato fries are delicious as well. Definitely recommend!,NA,5
Nice lunch ,I was here for lunch on a recent trip. I had the bacon burger on a pretzel roll. It was great.  I had the steak fries. Great.  But the banana pudding desert was the real winner. It was amazing.,NA,4.5
A little disappointed,"We ate dinner at the bar, a quaint old bar with some visual appeal. Service was spotty, difficult to get waiters attention. My wife's dinner was on the table 15 minutes before mine - not a good thing. My burger was OK, not great. Wanted...More","Hello! thank you for taking the time to leave us a review, we truly value your opinion and your business! Guest satisfaction is our #1 priority, and we hope we get the chance to see you again, so that we deliver the same great quality...More",4.5
Amazing mussels!,"My husband and I stopped in for a drink and decided to order the Blue Cheese Pancetta Mussels. They were fabulous!  I grew up on the east coast eating lots of seafood and these are as good, if not better, than anything you’d get out...More",NA,4.5
Delicious mussels,"Great atmosphere- very crowded, but we found a perfect place at the bar and to top it off..... the best bartender/server :Kate!
We both had hamburgers- delicious! And their lemonade drink ( yes, made with liquor) is refreshing and good !",NA,5
Great Lunch,"Very good mussels, cold beer.  Not cheap, but you get value for your money.  Service was very good as well.",NA,4.5
Cool Bar,Had a drink at the bar and then had dinner. The food was delicious! Mini crab cake sliders were to die for.,NA,3.5
Really good burgers!,"Delicious burgers!  I had the fried green tomato/pimento cheese burger to get a taste of the south.  The burger was too tall for me to take a bite, but I fork and knifed it.  Great atmosphere and really, really, really good food!",NA,4.5
Excellent Burger ,"I didn’t try the mussels but the burger was phenomenal.  Sat at the bar mid afternoon, wasn’t crowded but the bartender kind of ignored me.  Could have been a little more friendly and attentive.  Definitely worth checking out.",NA,4
One of the best burgers in town,"The service was fast and the waiter had a great personally. The place was very warm and cozy, Had some mussels too and they were out of this world. Wold go back for sure.",NA,4
Lived up to its name.,"Went here with 3 hungry guys and, of course myself.  We were not disappointed.  The burgers were huge and really tasty.  The fun/different burger options was refreshing.  It was definitely something different.  The Greek burger made with lamb was killer.  The cheese curd starter was...More",NA,5
Wonderful Find,My husband and I were staying at Homewood Suites right around the corner from Mussel and Burger. Went there around 8 pm and place looked pretty busy. We were told it would be a 10minute wait and they were exactly right. Had Abby for our...More,NA,4.5
We should have returned a second night,We were staying close by for a couple nights luckily so we tried this place.  It turned out to be the best meal of our vacation.  We had a few bourbon drinks that were really good- not too sweet and had great flavor.  The food...More,NA,4.5
"A phenomenal experience,  wonderful food",Some of the best food I’ve had I a while. The atmosphere was very melo and comforting. Definitely coming back.,NA,4.5
Great Lunch Downtown ,This was a short walk from the Louisville Slugger Factory. Our family of four dined here for lunch after our factory tour while we awaited the personalization of our bats. The food was amazing. It was my husband’s favorite place we ate at during our...More,NA,5
"Mussels, burgers and frites...oh my!","We had lunch on a Sunday in July after touring the Louisville Slugger Museum.  It did not disappoint!  If you love mussels (which I do), you will be in heaven!  They offer many different broths/sauces.  I wish the menu had a mussel flight, because I...More",NA,4.5
OMG! Seasoned to perfection,OMG! My coworkers and I stumbled across this quaint pub vibes restaurant for dinner while in business and we could not have been more happier about our dinner choice. We are from New Orleans where food is always good but this place came pretty close...More,NA,3.5
Best Mussels anywhere,Love the curry mussels and every hamburger I have had here. The figs in bacon for appetizers are the best. Also duck fat fries are not for the faint of heart...,NA,4.5
Fantastic,First our server Terry was amazing!  The food was incredible! Can’t wait to come back! Terry helped us with our food choices and really listened!,NA,4
Highly recommended not disappointed ,We were looking for a burger place after our stop at Louisville Slugger and we were not disappointed. Interesting twist on the classic burger. We were told the duck fat fingerling potatoes and they were delicious! Our server John Adams gave great food recommendations and...More,NA,4
"Good food,ambience",We brought 2 teenagers on a Friday night. There was a 40min wait but the receptionist told us about the gallery across the street so the wait was no problem at all. Mussel is fresh and sauce is delicious. We tried curry cream and a...More,Hello! We are so glad to hear that you had a fantastic visit with us at Mussel and Burger Bar! We are glad that you decided to wait it out and dine with us. We hope that you will join us again very soon:),5
Great burgers,Good food in a modest place. Service was good so all in all a good value. We would go back if in in the area,"Hello! Thank you for choosing to dine with us at Mussel & Burger Bar and for taking the time to leave us a review, your feedback is truly valued!:)",4.5
Quick Late Evening Meal,"Johnny made great suggestions for a beverage before our late dinner, quick service and very tasty meal.  Fun bar atmosphere with friendly clients who shared info about Louisville that we shouldn't miss while in town, and history of the famous Kentucky bourbon industry.  We opted...More","Hello! Thank you for taking the time to share your experience with us. We are thrilled to hear that you are a fan, hope you will dine with us again soon!",4.5
Quick stop in Louisville,"This restaurant was located right around the corner from our hotel. It was busy when we first arrived so we expected to a wait. After many tables cleared out, we noticed the servers were busing their own tables and still trying to serve those still...More",Hello! Thank you so much for taking the time to leave us a review! We are glad to hear that everyone enjoyed their food and we hope that you will dine with us again soon:),4.5
Amazing lunch!!,"We asked a lady at the Slugger Museum for lunch recommendation and she sent us here. And I'm so happy we took her recommendation. The best burger we've ever had, it was served with bread and butter pickles. My daughter said her kid burger was...More","Hello! We are so glad that you chose to dine with us at Mussel & Burger Bar. Happy to hear that your daughter dubbed our burgers the best, we love to hear that:) We can't wait for you and yours to dine with us again...More",5
Good food,"The mussels were great and the burgers were good.  Took awhile for someone to be aware we were there to be seated.  When I approached someone at the bar she didn’t seem too concerned.  Someone came by soon enough, but we easily could have left...More","Hello! Thank you for sharing your experience with us, I will be sharing your words with management to ensure that we tighten up as we value each and every customer that walks thru our doors :)",4.5
Great food & service!,We just stumbled upon this place looking to get a bite to eat after visiting the Slugger Museum (short walk from there). This place knows how to do a burger! Everything we ordered was great from burgers to mussels to fish tacos to the unique...More,"Hello! Thank you for choosing to dine with us at Mussel & Burger Bar:) We truly appreciate your feedback and can't wait for you to dine with us again, hopefully soon!",3.5
Great Burgers ,"Awesome atmosphere in downtown Louisville. Service and Food were excellent, although start to finish was very long for this type of meal. 
Each burger had something unique that made each great. Obvious they use top notch ingredients.",Hello! Thanks for taking the time to leave us a review. We truly value your feedback and hope that you will dine with us again soon:),4.5
Bachelorette Party Success,We walked in on a Friday night with quite a large party. The front desk told us it would be an hour to an hour and a half wait but we were actually seated fairly quickly. The staff made every attempt to accommodate our needs...More,Hello! We are so glad that you chose to MBB for a portion of your bachelorette festivities! We appreciate you taking the time to leave us a review and can't wait for you to dine with us again soon:),4
I want mussels!,We went with a large group of people to the restaurant and sat in the beautiful outdoor courtyard. A gorgeous setting. The mussels were fantastic and we got to try many of them. Thoroughly enjoyed the various bourbon cocktails on the menu.  I recommend you...More,Hello! Thank you so much for giving us your recommendation :) We truly appreciate your feedback and hope that you will chose to dine with us again soon!,4
Best Burger in Louisville. ,"The burgers are awesome. So are the fries. Or “pomme frites” as they call them on the menu. Start with the Ground Beef Taquitos. If an appetizer can be adorable, this is it. And tasty too. The Wedge Salad (with steak) is fantastic, as is...More","Hello! We are so glad that you're a fan of our Burgers! Thank you for leaving us your feedback, it is truly appreciated and we hope you will dine with us again soon:)",5
Not just a burger joint,Took the opportunity to introduce some friends from out of town to Mussel and Burger Bar.  Great food all around!  Love the Chorizo and Spanish Blue burgers!  Great night!  Thanks!,Hello! We are honored that you chose to bring your friends and family to Mussel & Burger Bar! We hope you will dine with us again soon:),4.5
Thank you TripAdvisor ,While planning this trip I noticed that this place was rated high and I made a mental note. After touring a museum we looked to our right and saw the restaurant. Despite having burgers last night my boys decided to try. My husband and son...More,"Hello! Thank you for taking the time to share your experience with us. We are so glad to hear that you gang was a fan of MBB, however, we do apologize that our bourbon special was not relayed to you. I've informed the staff of...More",4.5
great service,Mussel & Burger Bar in Louisville should be a first stop when visiting downtown. great service and atmosphere as well as some very incising tasty food will definitely bring us back.,"Hello Daniel, We truly appreciate your feedback and business. We hope you will dine with us again soon:)",4.5
Dinner with friends,"Good food.  The potato chip nachos were really tasty.  No gluten free bun option, so 4 stars from me for that.  Other restaurants in the area have GF bread option.

Nice atmosphere.  Clean bathroom.","Thank you for your feedback, I've shared your review with management for improvements to be made. We hope that you will dine with us again soon:)",5
"Good burgers and cocktails, excellent service","This was our first visit to Louisville and so also our first visit to the restaurant.  A theme we'd noticed in review's of eateries in the City was bad service.  That was not the case at all for our experience.  Our waiter, Sam, couldn't have...More","Hello Mark, We are so glad that you chose to dine with us at Mussel & Burger Bar during your first visit to Louisville. I will be sure to pass along your kind words to Sam, we love to hear when our employees hit the...More",4.5
Delicious ,The food was very delicious and the waiter was excellent. Prices are a bit expensive. Would highly recommend this restaurant.,"Hello! Thank you for choosing to dine with us, we appreciate your feedback and hope you will choose Mussel & Burger Bar again soon:)",3.5
Excellent dinner!,"Wow!  The hotel we were staying in recommended we try dinner here and it did not disappoint.  Table of 4 had : Chorizo burger (amazing), Bacon burger, Southern Bell (delish!) and the BBB (my son loved) - the sweet potato fries were amazing. We also...More",NA,4.5
"Delicious, and a perfect location!!","The mussels are absolutely incredible!(we got the curry sauce mussels.) The B.B.B. Burger is just scrumptious, if you’re looking for a sweet and savory breakfast burger of course. This is a must in Louisville, being a block away from the Louisville Slugger Factory & Museum!","Hello! Thank you for choosing to dine with us at Mussel & Burger Bar! We are honored that consider us a ""must"" for a trip to Louisville:) We can't wait for you to dine with us again soon.",4
Expected more,We went in with high expectations that fell a little short. Service was fine but the drinks were just ok and my burger was a bit dry.,"Hello, Thank you for taking the time to leave us a review. We are disappointed to hear that your experience fell short. We appreciate your feedback as it's been shared with upper management to ensure that adjustments are made.",4
The Mussels were divine,I stopped by because we never miss mussels. The bar is a beautiful old wooden piece with a lovely mirror in the center and velvet drapes. It seemed perfect for Louisville. The whiskey selection wasn’t the most extensive that we had seen in Louisville but...More,Hello! Thank you for choosing to dine with us at Mussel & Burger bar:) We are glad to hear that you are a fan of our Bourbon and mussels! Can't wait for you to dine with us again soon.,5
