headline,content,response,star
Great atmosphere,"Good food,good customer service and a southern charm under the bridge with outdoor seating (flies outside) but will go back always. We love it",NA,4
Great sandwiches,"Bustling on a Thursday, but management got us seated quickly—there were 10 of us, did have a reservation, which I recommend for a large group. Waitress very efficient and friendly. The salads were huge and so were the sandwiches! Sandwiches served with choices: fruits, chips,...More",NA,4.5
Come early!,"Come early because they get really busy! The service was friendly and quick. Our server was excellent  - and we were a ""problem"" group. We are a bunch of former co-workers and we never know how many will show up - usually 6. This month,...More",NA,4.5
Wow was this place wonderful!,"We went for lunch and loved it! The portions were huge and delicious.  Our favorites were the the chicken salad sandwich,  the roasted potato mixed grilled hash, and the Neo Greek, and scones are a MUST!  Amazingly delicious!",NA,4.5
Revisiting Old Haunts ,We were in the area and decided to stop by for lunch. It’s been at least two years since our last visit. The food is excellent and the portions huge. Ice tea was freshly brewed. We had a cup of the chicken and dumplings soup...More,NA,4.5
Great find in an unexpected place!,"I had the Grits Scramble and my husband had the Egg Sandwich.  The sandwich was basically a cheese omelette in an english muffin, it’s was huge!  The surroundings were pleasant and the service was great.",NA,4.5
Wonderful breakfast and lunch spot,"What a fascinating place--an old warehouse(?) with antique chandeliers, french doors hanging on the walls, flea market accessories--impossible to describe but very creative, nicely done, and a lot of fun.  The music is from bands and favorites of the '40s.  We had breakfast here a...More",NA,4.5
"Wow, A 5 star hidden jewel. ","What a place.   Fantastic service.  Great food.   Salads are fresh and large.  Chicken salad sandwiches are large and very tasty.  Kid freely.   Fresh bread to eat while you wait for your food.  Nice atmosphere.  Small parking lot, but street parking available nearby.  Prices fair.  Really...More",NA,4.5
"Great food, good service, and the atmosphere unique.","During the summer of 2016 we started taking our grandchildren 10 and 11 out for lunch every monday to somewhere they had not tried, and not a chain. Our mistake was we went to the cafe on our first trip. It was hard to get...More",NA,4
Fit for a king!,We visited Louisville Stoneware on vacation and were told about The Cafe which is around the back of it. Parking can get tricky. You would never thought think much of this place from the outside. The waiting area is very cramped during lunch hour. The...More,NA,3.5
Good but not Great,"This was one of the only restaurants that we visited in Louisville that wasn't particularly recommended by a local. That being said, there seemed to be only locals there, so that was a good sign. The decor is eclectic, as others have mentioned, and the...More",NA,4
Can't go wrong! ,Love the Cafe! Had the Rubino it was delicious! The sandwich was huge. Came with a side and a cookie. Had to take some home. Couldn't leave without getting a piece of cake to go.,NA,4.5
"Eclectic, Efficient, Efficient","An eclectic atmosphere with antiques, oddities, books, signs, and other sorts of furniture making up the decor. The staff was pleasant and efficient on this busy Saturday afternoon. The menu is big enough for every palate. We had 3 generations at our table and included...More",NA,4.5
Oh my,Oh my what a great place.  What great wait staff.  The food is fabulous.  The location is interesting...but fun.  The first time we got there at 3:35 and they close at 4:00.  The served us without trying to rush us.  The next morning we went...More,NA,4.5
PERFECT for locals and travelers alike!,"The Café is a great spot to stop when traveling through Louisville OR a great place to make yourself a local. Everything on the menu is large, delicious, and worth every penny. Do not leave without buying a slice of cake - they are ginormous...More",NA,4.5
Wonderful ambience,"We had brunch here with a friend.  I absolutely love the surroundings.  I had the breakfast special and it was delicious. The bacon was so crisp and yummy.  The desserts looked so good, but no one ordered one because we were stuffed.",NA,4.5
Finally a visit to the Cafe!!,"We recently celebrated a birthday at the Cafe.  Though everyone else had been there before somehow I had missed out on this gem in Louisville.  A comfortable surrounding once inside and the food was definitely first rate.  Open for breakfast and lunch only, the expected...More",NA,4.5
Excellent in every way,"Great service, menu, selection and quality. Parking is sparse due to popularity.  Lots of vegetarian choices.",NA,4.5
Make it a point to stop at The Cafe!,We found The Café on TripAdvisor as we were driving from Nashville to Columbus.  Not far off 65 in downtown.  Creative ambiance with attentive service.  We both had soup and 1/2 sandwich.  Tomato basil was rich and wonderful.  Chicken salad and BLTs were both good....More,NA,4
Off the beaten path,"This is one of those places you would never find, unless You wanted something unique and delicious, and were willing to go out of your way to seek it out.  I have lived in Louisville all my life and never knew about the Cafe.  Thanks...More",NA,3.5
Fabulous Fussbudget Fare For Family,"Charming warmth and old style setting with excellent food, service, and reasonable prices.  Displayed upon entering are several enormous cakes, and specialty deserts.  Lunch is busy (make that very busy) with a bustling crowd and hustling, highly competent wait staff.  We were ushered into our...More",NA,4
Hidden Lunch Gem,"The Cafe has been a favorite of mine for over ten years. Wow. I can't believe I just said that. The name is short, but the flavor is BIG! They have a ton of sandwiches to choose from if you're heading there for lunch, or...More",NA,4.5
Must Do When Downtown,"4 of us ladies went to Louisville for a girl trip. A local recommended this restaurant to us. After looking at the menu on-line, we knew it was just what we wanted. We arrived during the lunch hour, and it was VERY busy. They said...More",NA,4.5
yum yum never fails,This is a favorite go to place.  There is so many great dishes to savor!!  The staff are very friendly and very good!!  The Art Nouveau salad is a feast!!  The benedictine will fill your craving and the Chicken salad is a staple for me...More,NA,4.5
Delicious and Eclectic!,"Lovely breakfast and brunch spot. Very eclectic in decor so you aren't bored or feel like you're in the same old depressing place. 

The food was delicious. The bread is tasty. My friends got both sandwiches and omelettes and ate EVERYTHING. I got breakfast and...More",NA,4.5
Lunch and breakfast!,"My friends and I love to go to the cafe..everything they have is wonderful. I love their tuna mission ,my husband always gets an omelette and one friend always gets a salad..we love it! We go to Louisville stoneware since it's next door...another friend and...More",NA,4.5
"A great find, thanks to Trip Advisor","While running  from Hurricane Irma we ended up for several days in Louisville. Tired of predictable chain restaurants, I went on TA to look for a place off the beaten track that served lunch outside on a beautiful day.  Carefully following the GPS, we found...More",NA,4.5
"Excellent food, great atmosphere! ","Great selection of sandwiches and salads, service was fast and prices are very reasonable. We will definitely be eating at The Cafe again!",NA,4.5
The Cafe never disappoints! ,"Popped in for lunch and enjoyed my favorite sandwich platter, the Edwardian.  
It's so large you can easily take a ""to-go"" box home...but I ""forced"" myself to eat the whole thing.  😉 Staff is friendly and attentive.  If you have room left for dessert be...More",NA,4
Breakfast done right,"Took our daughter/in-law out for breakfast.  Service was prompt and courteous. Coffee was refilled several times.

Menu is broad and deep with all your favorites; prices are reasonable for the amount of food served.

Have been here before and will return again soon.",NA,3.5
Hot Brown!,"We were looking for a hot brown while in town. We will be returning to The Cafe for our hot brown every time we are in town. The price was right, the atmosphere is very family friendly, and our waitress was fantastic, so very friendly!...More",NA,4
BRING IT ON!,"Obviously the heat today sent people out to lunch.  The Cafe was full and with good reason.  The food was excellent!  I opted, after much thought, for the omelette and a good choice it was too.  It oozed of cheddar cheese, but of course I...More",NA,4.5
Delightful Dining,We finished up ogling at Louisville Stoneware and stopped here for lunch.  The inside was filled but the patio had available seating.  It was hot and humid; we should have waited for an inside table!  I enjoyed an omelet with very mediocre fruit salad that...More,NA,4.5
Great food!,"I was in a tour group with 22 other people and our server was awesome in taking our orders and keeping everything straight.  The bathroom was nice and clean despite the fact that the place was packed.  

The food was incredible.  The roast chicken sandwich...More",NA,4.5
Lovely lunch with friends,"Enjoyed a lovely outdoor lunch with friends weekday. Although warm, we greatly appreciated the outdoor seating with an umbrella shading us from direct sun.

Chicken salad with fruit was our luncheon of choice. We were not disappointed. 

Our inly regret is that we failed to...More",NA,4.5
Expectations High and EXCEEDED!,"We have had breakfast in most of the breakfast restaurants in Louisville.  We decided to try The Cafe on the advice of our great neice, Audry.  It was amazing!  The food was excellent as was the service and the atmosphere.  I knew going in it...More",NA,4.5
Best breakfast in Louisville! (so far),Small upscale type diner in a strange location. I'm not gonna lie... I was questioning the location at first. But my group was pleasantly surprised. The service was very nice and very friendly. The only complaint would be the amount of time it took to...More,NA,4.5
You've got to try the bread pudding! ,Always crowded because everything is so good. Many entrees can be split between two. Save room for desert as the cakes are outstanding and the bread pudding is one of the best in the south.,NA,4.5
Great Place For Lunch,"This restaurant is always crowded at lunch, so expect a wait.  The service is good, and the servers are knowledgeable.  I would recommend their chili and any of their sandwiches.  Soup and one of their enormous half (their half sandwiches is bigger than most restaurants...More",NA,4
Great lunch ,I've been wanting to try this spot for a while and finally made it today.  It was a bit difficult to find and if I wasn't looking for it I'm not sure I'd see it.  It's a very quaint cafe with plenty of nostalgic charm....More,NA,3.5
Pick Two and Get so Much More,"The lunch menu is extensive and it was difficult for me to decide.  Luckily the Pick Two options which included Half Sandwich and Cup of Soup helped me narrow it down.  And, they come with a side and a house made cookie!  The Tomato Dill...More",NA,4
Great Downtown Breakfast ,"This was an exceptional breakfast experience for our large family group. The location is off the beaten path a bit but worth the effort to find. 
We were seated quickly outside in the patio area. The server was very prompt and friendly. Every breakfast entree...More",NA,4.5
Always Bustling!,The Cafe is one of those great spots that is always bustling and there's a good reason: consistently great food and service.  The eclectic decor and diverse clientele just add to the overall experience.  The food is excellent!  Save room for dessert--the tuxedo cake is...More,NA,4.5
The Cafe,Excellent food and great service!  Everyone loved their selection.  Desserts are amazing.  The Cafe is a hidden gem.,NA,4.5
Sisters' Breakfast/Lunch,One of us likes breakfast and the other likes lunch. One of us always orders coffee and the other always orders iced tea. Never have had a bad meal here. On this last visit one of us had the country chicken salad which was greens...More,NA,4.5
Yum,Food was great. Staff was friendly.  Atmosphere was eclectic. Dessert was fabulous.  We sat outside and enjoyed our meal.,NA,4.5
A good Good Friday start,My soulmate and I both had Good Friday off work and decided to go out to breakfast since we rarely do that. She asked me to pick a new spot and after a brief internet search I found the Café. I can't believe I had...More,NA,4.5
Best lunch in Louisville!!,"I'm a local and have been eating here for 10+ years. If you like fresh, gourmet food...you'll love it here. The atmosphere is unique and the service is excellent! The menu has a variety annnnd if you love dessert...don't leave without it!! 😋🥗🥙🍲🍪🍰",NA,4.5
Good Food/Quaint Place,"I reviewed foods to eat before leaving Kentucky and the Hot Brown was mentioned.  The Cafe was voted in the top 10 places to get a Hot Brown, so we went.  The restaurant isn't much on the outside, but once inside, it is amazing.  The...More",NA,4
Fantastic food,The family had brunch at The Cafe. Some had breakfast and 1 had lunch. Service was impeccable and the food was very good.  Enjoy the food because they have a lot to offer.,NA,3.5
Wonderful menu,We love coming here and so do our kids.  The staff is always excellent. Grab a piece of cake before you head home!,NA,4
Saturday Lunch,"It is a quirky, unpretentious Restaurant that consistently delivers fantastic food.  Mismatched chairs, no waiting space all add to the charm.   Plus, you are treated to the presence of the fabulous dessert table before you even are seated at your table.

Everyone that works there...More",NA,4.5
"Great breakfast, brunch or lunch place!","The restaurant is not in a great, aesthetic location, under an overpass with a train going by. That said, once inside, it is very warm, welcoming, charming restaurant, with all different chandeliers hanging from the ceiiling. Staff are attentive/friendly. Menu  has interesting options. A lot...More",NA,4.5
6/6 would recommend ,"This restaurant was great! We went around noon, but because breakfast is served all day, we skipped over lunch and found ourselves with many orders of delicious omelettes, fruit plates, and oatmeal. 

This restaurant is VERY reasonable priced and the fruit is good fruit -...More",NA,4.5
Delicious lunch,"Today for lunch I had Huevos Rancheros it was a very hearty and delicious dish. The base of the dish is a hearty serving of red potatoes.  Topped with chorizo sausage, green chili, green onions, fresh tomatoes& shredded cheddar cheese! Simply amazing!… To top it...More",NA,4.5
"Better than ""average"" rating I've given it but not what it should have been.",A friend suggested we have lunch at The Cafe saying it was good and near another place she wanted to show me.  We arrived slightly after 1:30 on a Friday afternoon and the place was still busy from lunch.  I thought that a good sign....More,NA,4.5
Great Lunch,"Lunch was great as usual.  The tomato soup and pimento sandwich were excellent. The only complaint is that it is so crowded, and we were there by 11:30. Service was attentive and good. Parking is a challenge. Looked like lots of Christmas parties.  Sal and...More",NA,4.5
This is a MUST visit place,"The outside is not impressive. But the inside is terrific. All different chandeliers are hanging. Old fashioned stoves are used for great decor. It is so cute! The food is very, very good. The service is perfect. Take home a piece of cake, It takes...More",NA,4.5
Tuxedo Cake Oh My,"Everything here is delicious. The sandwiches are huge and yummy. The basket of bread they bring you first is great.  The salads and sides are all scrumptious.  However, if you love desserts like I do, you'll never taste anything like the Tuxedo Cake!!!  It's indescribable....More",NA,4
If Breakfast Is Your Favorite Meal Treat Yourself To This Place When Visiting Louisville,My subject title should give you a little hint how I feel about Breakfast.  I did my usual thing and went to Trip Advisor to see where I wanted to eat while visiting.  I went with a native of the area who had never been...More,NA,3.5
Downtown Louisville in the rain,"Four of us were out and about exploring Louisville. We visited the stoneware factory across the street and would next go to M.A. Hadley in the Butchertown area.  We had to stop at our host's favorite haunt for good, inexpensive food. We weren't the only...More",NA,4
First Time The Cafe has Disappointed,"I've reviewed The Cafe several times over the past five years.  The reviews have always been stellar.  I love this restaurant.
However, I had a disappointing visit this morning.  I ordered something I'd never had before, the mixed grill hash with scrambled egg on top....More",NA,4.5
Excellent first visit.,We were very pleased with all we ordered.  Sandwich types were great and everything was fresh.  One of us got the waffle which was also perfect.  We got a slice of cake which was enough for three two share and it was also fantastic. Reasonably...More,NA,4.5
Great Food,"The Cafe has never disappointed. Great breakfast and lunch. Worth the wait! Also, box lunches for corporate and school events. Check out this gem on Brent St.",NA,4.5
Great food,Have been here twice.Both times we have been very happy with food and service.If you come at noon expect a wait. Loved their hot brown !!,NA,4.5
Lunch,"I've had lunch at The Cafe and have always been pleased. Today, I had the soup and sandwich combo. The soup was tomato dill which was delicious. It came out with some fresh French-type bread and butter. I wish I had just ordered an entire...More",NA,4.5
Nice Restaurant & Good Food,We went as a group - 8 people to celebrate a friend's retirement.  The food is always good and reasonably priced for what you get.  The food servings are more than sufficient and delicious.  The service was good and the food was brought out in...More,NA,4.5
Breakfast was flavorful ,"I got the 3 egg omelette, added spinach and portobello mushrooms and man was it perfect! Eggs tasted farm fresh, light and fluffy! The Italian toast was soooo good! I love the vibe of this redone warehouse! I will most definitely be back! Oh, and...More",NA,4.5
Mother Daughter brunch/lunch tradition,I haven't lived in Louisville for many years. But I have designated the Café as the new tradition for where my daughter and I lunch to catch up and connect during my infrequent Louisville visits. On my last trip several years ago I ate every...More,NA,4
Delicious sandwiches. Great service,"My wife and I stopped in to the Cafe on a Wednesday afternoon. It was late enough that there wasn't a crowd. 

I ordered the tuna melt sandwich (King Louis I think?). Fantastic sandwich. The tuna salad was had lots of flavor and the toasted...More",NA,3.5
Good food....not sure its worth the wait,"We chose this place because it's right across the street from Louisville Stoneware factory and shop. 20 people signed in, waiting a minimum of 30 min. We decided not to wait but got take out. Chicken salad sandwich and Reuben were good but I think...More",NA,4
Great Food. Great Service and Good Prices!,"I had lunch here yesterday for the first time!!  I was with a good friend who also happens to be a business colleague!!  He and his family, along with other friends have eaten here many  times!!  I am told their breakfast is outstanding!  I will...More",NA,4.5
Great food!,"Went here with a group of 13 women for lunch, and they let us make reservations. Upon arrival they seated us promptly and staff was very helpful. The food choices were great; I had a sandwich with a pasta salad side that was very delicious....More",SO very happy that you enjoyed your experience with us. Hope to see you again soon.,4.5
"Good brunch, good atmosphere","Went here with my wife to get brunch. It's close to the train tracks and near some not-so-lovely buildings, but apparently has been able to do well despite those things. Inside was very nice. We chose to eat outside on their nice patio. Luckily a...More",NA,4.5
Great place for weekday lunch!,"Best soup & sandwich combo around. The #3 has a cup of soup, half a sandwich of your choice (more like whole sandwich), along with another side(fruit cup or pasta salad) and cookie under $11. The tomato basil soup is wonderful as well. You get...More",NA,4.5
Charming Hideaway ,"My husband and I were recently in the Louisville area for a wedding.  We decided to venture out for breakfast rather than having the hotel fare.  After reading reviews on Trip Advisor, we settled on The Cafe.  We were so glad we did.  The restaurant...More",NA,4.5
Still a great lunch spot.,"We have been coming here for years and still hands down this is our favorite lunch spot. We usually go for the half sandwich combo with one side and soup. The Queen Anne(Benedictine), pimento and grilled veggie sandwiches are among our favorites. The tomato dill...More",NA,4.5
Disappointed ,"I visited Louisville the other day and wanted something that was quintessential Louisville.  I asked several locals and they all suggested The Cafe and insisted I order ""the Pimita"".  The suggestion was confirmed by my waitress.  However, I was extremely disappointed in the food.  Would...More",We are truly sorry to hear that your trip to The Cafe did not meet your expectations. We certainly value the thoughts and opinions presented to us from our patrons. We sincerely hope that you will give us another shot next time you are in...More,4.5
Eats,Friendly clean place - don't be discouraged by neighborhood - under a bridge ! Chicken salad sandwich awesome - tomato dill soup hot and good - decor is spot on in an eclectic art way it comfortable - would return,NA,4
A Truly Amazing Lunch Experience,If you are looking for some fresh and amazingly well-prepared food... Look no further!  The Cafe is a terrific place to take visitors who are new to the Louisville area as it will most definitely leave a positive impression on them!  My favorite is their...More,NA,3.5
Fabulous Workday Lunch!,"This was my second visit to The Cafe, and the second experience was as delicious as the first! I had a lunch combo consisting of a cup of chicken pot pie soup (soup of the day), half a Louis XIV sandwich (their chicken salad), pasta...More",NA,4
Favorite Breakfast Spot,"The first thing that caught my attention was the decor; it has a warm inviting feeling.

I always get the strata with meat and my wife gets it meatless.  The roasted potatoes are the side of choice but the fresh fruit is good also.  

I...More",NA,4.5
Great lunch!,"Very busy during the lunch hour with lots of hustle and bustle.  Very unique interior with lots of hanging lights and decor.  It's always about the food, though.  Soups and sandwiches are the highlight here.  The tomato dill soup is warm, velvety goodness.  The French...More",NA,4.5
Great business lunch,The food is absolutely delicious. The staff was very friendly. Love the ambience. The fact that the owners walk around and check on customers is a plus. Will definitely be going back very soon.,NA,4.5
I'll be back!,"When we pulled up to The Café at about 11:30, we didn't see many cars in the area, and we were a little skeptical, but when we stepped inside the front door, and we spied three of the most luscious looking cakes just daring us...More",NA,4.5
Best of best downtown,"You can't go wrong here, if it's outstanding food you are after. There's something for everybody, at breakfast or lunch - but they close before dinner. Check hours. Much better than Jack Fries nowadays. Everything on the menu is outstanding. It should be in the...More",NA,4.5
Great place for lunch in Louisville,"The Cafe is one of my favorite ""go to"" lunch spots in Louisville. The restaurant has been a popular destination ever since it opened at its former location in the Louisville Antique Mall. It has been serving breakfast and lunch at its current location on...More",NA,4.5
Charming and tasty,"Nice to hop off the interstate and have a nice lunch. In an old warehouse, the decor is industrial shabby chic. Tuscan chicken salad and Tomato Dill Soup were delicious and filling. We split the salad and it was plenty. Desserts looked amazing but didn't...More",NA,4.5
Was a perfect place for a daytrip lunch in Louisville,"This place has great ambiance! Lots to look at with vintage type décor everywhere. It is located in a very old warehouse building. This adds to the ambiance. I wanted to love my lunch, I was enjoying being there so much. But ultimately found the...More",NA,4
